method,label,n_vectors,k,build_time_s,memory_mb,latency_mean_ms,latency_p50_ms,latency_p95_ms,qps,recall_at_k
Flat,Flat,20000,10,0.0114,29.2969,1.81811,1.76025,2.25153,550.02,1.0
IVF,"IVF(nlist=100,nprobe=32)",20000,10,0.22298,29.5968,1.16839,0.96995,2.10976,855.88,0.9625
HNSW,"HNSW(M=32,efS=64)",20000,10,2.72866,34.4873,0.45091,0.37375,0.85015,2217.75,0.995
